usuario;tokens;tiempo
Tomirio#9645;xdddddd;2021-11-25 20:16:05.044145
davidmoscoso#5401;['alfobot', 'profe'];2021-11-25 20:51:27.822906
Tomás#9078;['alfobot', 'despierta'];2021-11-25 20:54:42.572132
Tomás#9078;['alfobot', 'tokeniza'];2021-11-25 20:54:51.471904
davidmoscoso#5401;['duerme'];2021-11-25 21:03:34.449506
Tomás#9078;['alfobot', 'profe'];2021-11-25 21:03:40.450987
Tomás#9078;['machine', 'learning'];2021-11-25 21:03:47.520396
Tomás#9078;['daniela'];2021-11-25 21:03:54.128609
Tomás#9078;['alfobot', 'logout'];2021-11-25 21:13:40.877705
Tomás#9078;['detecta'];2021-11-25 21:13:54.067915
Tomás#9078;['alfobot', 'duerme'];2021-11-25 21:13:57.983431
davidmoscoso#5401;['hola'];2021-11-25 22:56:10.644151
davidmoscoso#5401;['si'];2021-11-25 22:56:10.873993
davidmoscoso#5401;['espejo'];2021-11-25 22:56:13.720889
davidmoscoso#5401;['duerme'];2021-11-25 22:56:21.071376
davidmoscoso#5401;['hola'];2021-11-26 21:56:10.009254
davidmoscoso#5401;['si'];2021-11-26 21:56:10.140094
davidmoscoso#5401;['espejo'];2021-11-26 21:56:22.488517
davidmoscoso#5401;['alfobot', 'duerme'];2021-11-26 21:56:31.912272
davidmoscoso#5401;['hoy', 'comi', 'queso'];2021-11-26 22:06:05.194643
Tomás#9078;['alfobot', 'profe'];2021-11-27 10:27:38.214457
Tomás#9078;['alfobot', 'despierta'];2021-11-27 10:27:42.038091
Tomás#9078;['alfobot', 'party'];2021-11-27 10:27:46.527568
Tomás#9078;['espejo'];2021-11-27 10:27:48.651866
Tomás#9078;['espejo'];2021-11-27 10:27:48.892134
Tomás#9078;['consumes'];2021-11-27 10:28:05.472633
Tomás#9078;['consumes'];2021-11-27 10:28:05.575460
Tomás#9078;['pollo'];2021-11-27 10:28:45.259551
Tomás#9078;['pollo'];2021-11-27 10:28:45.354171
Tomás#9078;['proteina'];2021-11-27 10:28:53.208543
Tomás#9078;['proteina'];2021-11-27 10:28:53.211817
Tomás#9078;['proteína'];2021-11-27 10:28:56.364660
Tomás#9078;['proteína'];2021-11-27 10:28:56.466835
Tomás#9078;['metro'];2021-11-27 10:29:03.188256
Tomás#9078;['metro'];2021-11-27 10:29:03.284096
Tomás#9078;['dios', 'buenísimo', 'dejado', 'genial'];2021-11-27 10:30:13.273240
Tomás#9078;['dios', 'buenísimo', 'dejado', 'genial'];2021-11-27 10:30:13.282435
Tomás#9078;['party', 'suelta', 'dos', 'veces', 'cosas', 'creo'];2021-11-27 10:30:23.951724
Tomás#9078;['party', 'suelta', 'dos', 'veces', 'cosas', 'creo'];2021-11-27 10:30:24.049698
Tomás#9078;['pollo'];2021-11-27 10:30:27.305491
Tomás#9078;['pollo'];2021-11-27 10:30:27.409566
Tomás#9078;['espejo'];2021-11-27 10:30:32.426411
Tomás#9078;['espejo'];2021-11-27 10:30:32.528667
Tomás#9078;['elmo'];2021-11-27 10:30:46.572632
Tomás#9078;['elmo'];2021-11-27 10:30:46.669179
davidmoscoso#5401;['raro'];2021-11-27 10:32:02.542831
davidmoscoso#5401;['raro'];2021-11-27 10:32:02.546203
davidmoscoso#5401;['dormiste'];2021-11-27 10:32:15.410111
davidmoscoso#5401;['dormiste'];2021-11-27 10:32:15.413941
Tomás#9078;['va'];2021-11-27 10:32:23.330699
Tomás#9078;['va'];2021-11-27 10:32:23.334053
Tomás#9078;['pollo'];2021-11-27 10:32:24.688452
Tomás#9078;['pollo'];2021-11-27 10:32:24.782244
Tomás#9078;['veo', 'codigo', 'puede', 'haciendolo'];2021-11-27 10:32:38.356778
Tomás#9078;['veo', 'codigo', 'puede', 'haciendolo'];2021-11-27 10:32:38.454703
davidmoscoso#5401;['espejo'];2021-11-27 10:32:43.510656
davidmoscoso#5401;['espejo'];2021-11-27 10:32:43.606084
davidmoscoso#5401;['quizá', 'despertó', 'dos', 'veces'];2021-11-27 10:33:10.376348
davidmoscoso#5401;['quizá', 'despertó', 'dos', 'veces'];2021-11-27 10:33:10.468060
Tomás#9078;['ah', 'puede', 'ser'];2021-11-27 10:33:20.709577
Tomás#9078;['ah', 'puede', 'ser'];2021-11-27 10:33:20.820383
Tomás#9078;['alfobot', 'despierta'];2021-11-27 10:33:24.589000
Tomás#9078;['alfobot', 'despierta'];2021-11-27 10:33:24.601323
Tomás#9078;['cod', 'knn'];2021-11-27 10:33:28.460445
Tomás#9078;['cod', 'knn'];2021-11-27 10:33:28.464304
Tomás#9078;['si', '3', 'veces', 'despierto', 'profe'];2021-11-27 10:33:39.125488
Tomás#9078;['si', '3', 'veces', 'despierto', 'profe'];2021-11-27 10:33:39.215135
davidmoscoso#5401;['ejército', 'clones'];2021-11-27 10:33:40.014146
davidmoscoso#5401;['ejército', 'clones'];2021-11-27 10:33:40.019057
Tomás#9078;['jajajajajaj'];2021-11-27 10:33:43.554746
Tomás#9078;['jajajajajaj'];2021-11-27 10:33:43.558428
Tomás#9078;['alfobot', 'party'];2021-11-27 10:33:52.173016
Tomás#9078;['alfobot', 'party'];2021-11-27 10:33:52.180326
Tomás#9078;['alfobot', 'party'];2021-11-27 10:33:54.741437
Tomás#9078;['alfobot', 'party'];2021-11-27 10:33:54.745350
Tomás#9078;['alfobot', 'party'];2021-11-27 10:33:54.748707
Tomás#9078;['alfobot', 'party'];2021-11-27 10:33:59.096526
Tomás#9078;['alfobot', 'party'];2021-11-27 10:33:59.104838
Tomás#9078;['alfobot', 'party'];2021-11-27 10:33:59.115806
Tomás#9078;['alfobot', 'party'];2021-11-27 10:33:59.121259
Tomás#9078;['pollo'];2021-11-27 10:34:02.838509
Tomás#9078;['pollo'];2021-11-27 10:34:02.939587
Tomás#9078;['pollo'];2021-11-27 10:34:03.028764
Tomás#9078;['pollo'];2021-11-27 10:34:03.141591
Tomás#9078;['pollo'];2021-11-27 10:34:04.341047
Tomás#9078;['xd'];2021-11-27 10:34:07.041641
Tomás#9078;['xd'];2021-11-27 10:34:07.044936
Tomás#9078;['xd'];2021-11-27 10:34:07.047671
Tomás#9078;['xd'];2021-11-27 10:34:07.049997
Tomás#9078;['xd'];2021-11-27 10:34:07.052279
davidmoscoso#5401;['jajjaaj', 'clon', 'rebelde'];2021-11-27 10:34:17.596298
davidmoscoso#5401;['jajjaaj', 'clon', 'rebelde'];2021-11-27 10:34:17.600059
davidmoscoso#5401;['jajjaaj', 'clon', 'rebelde'];2021-11-27 10:34:17.603568
davidmoscoso#5401;['jajjaaj', 'clon', 'rebelde'];2021-11-27 10:34:17.607515
davidmoscoso#5401;['jajjaaj', 'clon', 'rebelde'];2021-11-27 10:34:17.611054
Tomás#9078;['jajajaja'];2021-11-27 10:34:24.121845
Tomás#9078;['jajajaja'];2021-11-27 10:34:24.125587
Tomás#9078;['jajajaja'];2021-11-27 10:34:24.128801
Tomás#9078;['jajajaja'];2021-11-27 10:34:24.131002
Tomás#9078;['jajajaja'];2021-11-27 10:34:24.133224
davidmoscoso#5401;['dormirlo'];2021-11-27 10:34:27.562330
davidmoscoso#5401;['dormirlo'];2021-11-27 10:34:27.566402
davidmoscoso#5401;['dormirlo'];2021-11-27 10:34:27.569455
davidmoscoso#5401;['dormirlo'];2021-11-27 10:34:27.576012
davidmoscoso#5401;['dormirlo'];2021-11-27 10:34:27.578577
davidmoscoso#5401;['alfobot', 'duerme'];2021-11-27 10:34:31.926951
davidmoscoso#5401;['alfobot', 'duerme'];2021-11-27 10:34:31.931683
davidmoscoso#5401;['alfobot', 'duerme'];2021-11-27 10:34:31.935713
davidmoscoso#5401;['alfobot', 'duerme'];2021-11-27 10:34:31.938908
davidmoscoso#5401;['alfobot', 'duerme'];2021-11-27 10:34:31.942079
Tomás#9078;['revela'];2021-11-27 10:34:32.072889
Tomás#9078;['revela'];2021-11-27 10:34:32.080700
Tomás#9078;['revela'];2021-11-27 10:34:32.094333
Tomás#9078;['revela'];2021-11-27 10:34:32.102174
Tomás#9078;['revela'];2021-11-27 10:34:32.112197
davidmoscoso#5401;['alfobot', 'duerme'];2021-11-27 10:34:38.636982
davidmoscoso#5401;['alfobot', 'duerme'];2021-11-27 10:34:38.641016
davidmoscoso#5401;['alfobot', 'duerme'];2021-11-27 10:34:38.644651
davidmoscoso#5401;['alfobot', 'duerme'];2021-11-27 10:34:38.650849
davidmoscoso#5401;['alfobot', 'duerme'];2021-11-27 10:34:38.654232
Tomás#9078;['oh', 'imparable'];2021-11-27 10:34:54.258513
Tomás#9078;['oh', 'imparable'];2021-11-27 10:34:54.262581
Tomás#9078;['oh', 'imparable'];2021-11-27 10:34:54.265893
Tomás#9078;['oh', 'imparable'];2021-11-27 10:34:54.268443
davidmoscoso#5401;['alfobot', 'duerme'];2021-11-27 10:34:54.344998
davidmoscoso#5401;['alfobot', 'duerme'];2021-11-27 10:34:54.348572
davidmoscoso#5401;['alfobot', 'duerme'];2021-11-27 10:34:54.351330
davidmoscoso#5401;['alfobot', 'duerme'];2021-11-27 10:34:54.353940
Tomás#9078;['hecho'];2021-11-27 10:34:59.576159
Tomás#9078;['hecho'];2021-11-27 10:34:59.672841
Tomás#9078;['hecho'];2021-11-27 10:34:59.771317
Tomás#9078;['hecho'];2021-11-27 10:34:59.880232
Tomás#9078;['cobrado', 'conciencia'];2021-11-27 10:35:02.065168
Tomás#9078;['cobrado', 'conciencia'];2021-11-27 10:35:02.069295
Tomás#9078;['cobrado', 'conciencia'];2021-11-27 10:35:02.075578
Tomás#9078;['cobrado', 'conciencia'];2021-11-27 10:35:02.081768
Tomás#9078;['multiplicando'];2021-11-27 10:35:07.223243
Tomás#9078;['multiplicando'];2021-11-27 10:35:07.227184
Tomás#9078;['multiplicando'];2021-11-27 10:35:07.229973
Tomás#9078;['multiplicando'];2021-11-27 10:35:07.233261
davidmoscoso#5401;['ahora', 'va', 'querer', 'matar', 'real'];2021-11-27 10:35:35.169608
davidmoscoso#5401;['ahora', 'va', 'querer', 'matar', 'real'];2021-11-27 10:35:35.183311
davidmoscoso#5401;['ahora', 'va', 'querer', 'matar', 'real'];2021-11-27 10:35:35.189968
davidmoscoso#5401;['ahora', 'va', 'querer', 'matar', 'real'];2021-11-27 10:35:35.202090
davidmoscoso#5401;['alfobot', 'duerme'];2021-11-27 10:35:44.930072
davidmoscoso#5401;['alfobot', 'duerme'];2021-11-27 10:35:44.944135
davidmoscoso#5401;['alfobot', 'duerme'];2021-11-27 10:35:44.951994
