datetime;.;..;.;;user;.;..;.;;message;.;..;.;;tokens
2021-11-27 18:53:19.384882;.;..;.;;Tomás#9078;.;..;.;;'dime el precio del bitcoin';.;..;.;;['dime', 'precio', 'bitcoin']
2021-11-27 18:53:27.995433;.;..;.;;Tomás#9078;.;..;.;;'puf, estás loco?';.;..;.;;['puf', 'loco']
2021-11-27 18:53:32.735747;.;..;.;;Tomás#9078;.;..;.;;'ya ves';.;..;.;;['ves']
2021-11-27 19:15:33.537951;.;..;.;;MaryDaze#2415;.;..;.;;'Alfobot despierta';.;..;.;;['alfobot', 'despierta']
2021-11-27 19:18:41.233643;.;..;.;;MaryDaze#2415;.;..;.;;'Alfobot, qué piensas de la cocaína?';.;..;.;;['alfobot', 'piensas', 'cocaína']
2021-11-27 19:18:55.027081;.;..;.;;MaryDaze#2415;.;..;.;;'Consumes cocaína?';.;..;.;;['consumes', 'cocaína']
2021-11-27 19:19:33.299651;.;..;.;;MaryDaze#2415;.;..;.;;'Alfobot, usas el metro de Madrid para ir a trabajar?';.;..;.;;['alfobot', 'usas', 'metro', 'madrid', 'ir', 'trabajar']
2021-11-27 19:21:40.437298;.;..;.;;MaryDaze#2415;.;..;.;;'Crees que eres un buen profesor?';.;..;.;;['crees', 'buen', 'profesor']
2021-11-27 19:22:32.243311;.;..;.;;MaryDaze#2415;.;..;.;;'Es buena idea invertir en Bitcoin?';.;..;.;;['buena', 'idea', 'invertir', 'bitcoin']
2021-11-27 19:24:44.283175;.;..;.;;MaryDaze#2415;.;..;.;;'Es Tomás el estudiante más listo, inteligente y guapo del Bootcamp? Yo digo sí.';.;..;.;;['tomás', 'estudiante', 'listo', 'inteligente', 'guapo', 'bootcamp', 'digo']
2021-11-27 19:27:33.859087;.;..;.;;Tomás#9078;.;..;.;;'dime un dicho popular';.;..;.;;['dime', 'dicho', 'popular']
2021-11-27 19:29:05.011612;.;..;.;;Tomás#9078;.;..;.;;'Alfobot eres inmortal?';.;..;.;;['alfobot', 'inmortal']
2021-11-27 19:29:31.572450;.;..;.;;Tomás#9078;.;..;.;;'quien es jc?';.;..;.;;['jc']
2021-11-27 19:29:48.872128;.;..;.;;Tomás#9078;.;..;.;;'qué opinas de elmo?';.;..;.;;['opinas', 'elmo']
2021-11-27 19:30:27.814979;.;..;.;;Tomás#9078;.;..;.;;'Alfonso, echamos un kahoot?';.;..;.;;['alfonso', 'echamos', 'kahoot']
2021-11-27 19:31:01.691205;.;..;.;;Tomás#9078;.;..;.;;'Qué piensas de Daniela?';.;..;.;;['piensas', 'daniela']
2021-11-27 19:35:34.507645;.;..;.;;Tomás#9078;.;..;.;;'jc';.;..;.;;['jc']
2021-11-27 19:36:54.294920;.;..;.;;davidmoscoso#5401;.;..;.;;'pollo';.;..;.;;['pollo']
2021-11-27 19:37:02.026593;.;..;.;;davidmoscoso#5401;.;..;.;;'alfonso duerme';.;..;.;;['alfonso', 'duerme']
2021-11-27 19:37:13.765712;.;..;.;;davidmoscoso#5401;.;..;.;;'Alfobot duerme';.;..;.;;['alfobot', 'duerme']
2021-11-27 19:46:21.558897;.;..;.;;Tomás#9078;.;..;.;;'no me digas';.;..;.;;['digas']
2021-11-27 19:46:30.772010;.;..;.;;Tomás#9078;.;..;.;;'ves';.;..;.;;['ves']
2021-11-27 19:47:12.499982;.;..;.;;Tomás#9078;.;..;.;;'Alfobot duerme';.;..;.;;['alfobot', 'duerme']
2021-11-28 11:23:11.076486;.;..;.;;Tomás#9078;.;..;.;;'pollo';.;..;.;;['pollo']
